Quality_Record_ID,Sales_Line_ID,Lot_ID,Hembaft_ID,Hembaft_Lot_Key,Product_ID,Production_Date,Measured_At,Available_At,Tensile_Strength_cN_dtex,Elongation_Pct,Evenness_CV_Pct,Oil_Pickup_Pct,Sample_Count,Lab_Result,Source_System
QLT-00002480,SL-00009461,LOT-202007-491978,,,P_945393,2020-07-05,2020-07-05,2020-07-07,4.52,21.2%,2.0%,0.5%,10,قبول,QMS_LAB
QLT-00002481,SL-00009473,LOT-202010-671743,,,P_637093,2020-09-27,2020-09-28,2020-09-30,4.51,24.9%,2.3%,0.9%,4,قبول,QMS_LAB
QLT-00002482,SL-00009474,LOT-202012-392713,,,P_569454,2020-12-04,2020-12-06,2020-12-06,3.39,32.9%,2.3%,0.4%,9,قبول,QMS_LAB
QLT-00002483,SL-00009475,LOT-202011-816040,,,P_520245,2020-11-07,2020-11-08,2020-11-09,3.17,34.6%,2.0%,0.5%,10,قبول,QMS_LAB
QLT-00002484,SL-00009487,LOT-202004-098298,,,P_571374,2020-04-04,2020-04-04,2020-04-05,3.65,21.9%,1.2%,0.9%,8,قبول,QMS_LAB
QLT-00002485,SL-00009489,LOT-202003-918592,,,P_RARE_Product_Family_03,2020-02-24,2020-02-24,2020-02-24,4.50,31.5%,0.9%,0.4%,6,قبول,QMS_LAB
QLT-00002486,SL-00009492,LOT-202205-786817,,,P_983543,2022-05-22,2022-05-22,2022-05-22,3.42,27.2%,1.2%,0.5%,3,قبول,QMS_LAB
QLT-00002487,SL-00009497,LOT-202202-255659,,,P_228625,2022-02-11,2022-02-12,2022-02-13,4.50,18.3%,1.2%,0.9%,8,قبول,QMS_LAB
QLT-00002488,SL-00009500,LOT-202103-704821,,,P_RARE_Product_Family_05,2021-02-23,2021-02-24,2021-02-24,3.30,26.0%,2.1%,0.7%,8,قبول,QMS_LAB
QLT-00002489,SL-00009505,LOT-202010-761673,,,P_RARE_Product_Family_03,2020-10-07,2020-10-09,2020-10-09,4.38,34.1%,2.1%,1.1%,5,قبول,QMS_LAB
QLT-00002490,SL-00009510,LOT-202106-891294,,,P_520245,2021-06-11,2021-06-11,2021-06-13,3.30,22.3%,1.8%,1.2%,6,قبول,QMS_LAB
QLT-00002491,SL-00009511,LOT-202002-569758,,,P_726474,2020-01-23,2020-01-24,2020-01-25,3.53,20.7%,2.2%,1.1%,5,قبول,QMS_LAB
QLT-00002492,SL-00009515,LOT-202007-823228,,,P_596778,2020-07-02,2020-07-04,2020-07-06,4.42,31.2%,1.8%,0.8%,9,قبول,QMS_LAB
QLT-00002493,SL-00009522,LOT-202106-997112,,,P_735610,2021-06-22,2021-06-23,2021-06-23,4.58,18.2%,0.8%,0.4%,6,قبول,QMS_LAB
QLT-00002494,SL-00009523,LOT-202101-648805,,,P_434331,2020-12-30,2020-12-30,2020-12-31,4.36,19.8%,2.1%,0.4%,7,قبول,QMS_LAB
QLT-00002495,SL-00009525,LOT-202110-536274,,,P_RARE_Product_Family_03,2021-09-23,2021-09-23,2021-09-25,3.50,27.1%,0.8%,0.9%,9,قبول,QMS_LAB
QLT-00002496,SL-00009528,LOT-202009-967496,,,P_484048,2020-09-12,2020-09-14,2020-09-16,4.62,19.1%,0.8%,0.4%,4,قبول,QMS_LAB
QLT-00002497,SL-00009530,LOT-202109-069526,,,P_970810,2021-09-03,2021-09-03,2021-09-03,4.92,30.3%,1.8%,1.0%,10,قبول,QMS_LAB
QLT-00002498,SL-00009535,LOT-202109-855268,,,P_975626,2021-09-02,2021-09-04,2021-09-04,3.85,22.2%,1.8%,0.6%,5,قبول,QMS_LAB
QLT-00002499,SL-00009542,LOT-202003-314152,,,P_383500,2020-03-10,2020-03-11,2020-03-13,3.28,19.3%,1.1%,0.9%,6,قبول,QMS_LAB
QLT-00002500,SL-00009548,LOT-202205-395103,,,P_264078,2022-04-18,2022-04-18,2022-04-18,3.23,18.3%,1.1%,0.8%,8,قبول,QMS_LAB
QLT-00002501,SL-00009549,LOT-202006-308134,,,P_484354,2020-05-26,2020-05-28,2020-05-29,3.01,20.0%,0.8%,0.9%,9,قبول,QMS_LAB
QLT-00002502,SL-00009555,LOT-202010-941904,,,P_769459,2020-09-23,2020-09-24,2020-09-26,4.36,23.6%,0.8%,0.9%,9,قبول,QMS_LAB
QLT-00002503,SL-00009558,LOT-202102-499529,,,P_468134,2021-02-03,2021-02-03,2021-02-03,4.62,22.8%,1.1%,0.9%,6,قبول,QMS_LAB
QLT-00002504,SL-00009561,LOT-202204-878911,,,P_826872,2022-04-20,2022-04-20,2022-04-22,2.87,31.1%,1.4%,0.5%,5,قبول,QMS_LAB
QLT-00002505,SL-00009566,LOT-202004-298514,,,P_RARE_Product_Family_03,2020-03-19,2020-03-20,2020-03-22,3.95,22.2%,1.4%,0.9%,10,قبول,QMS_LAB
QLT-00002506,SL-00009571,LOT-202106-196285,,,P_850083,2021-06-02,2021-06-03,2021-06-04,3.05,24.6%,1.1%,0.5%,9,قبول,QMS_LAB
QLT-00002507,SL-00009572,LOT-202101-427137,,,P_990561,2020-12-22,2020-12-24,2020-12-24,3.28,23.0%,1.4%,0.4%,8,قبول,QMS_LAB
QLT-00002508,SL-00009574,LOT-202110-417579,,,P_428591,2021-10-18,2021-10-20,2021-10-22,4.13,32.7%,1.1%,0.9%,6,قبول,QMS_LAB
QLT-00002509,SL-00009582,LOT-202111-251456,,,P_228625,2021-11-17,2021-11-18,2021-11-19,3.96,28.8%,1.0%,1.0%,6,قبول,QMS_LAB
QLT-00002510,SL-00009583,LOT-202011-141270,,,P_902779,2020-11-05,2020-11-05,2020-11-07,3.73,30.4%,2.2%,1.0%,7,قبول,QMS_LAB
QLT-00002511,SL-00009584,LOT-202011-955412,,,P_028268,2020-10-27,2020-10-28,2020-10-28,4.81,21.5%,2.2%,0.5%,4,قبول,QMS_LAB
QLT-00002512,SL-00009589,LOT-202006-634928,,,P_548156,2020-05-29,2020-05-29,2020-05-29,2.88,20.8%,1.0%,0.5%,9,قبول,QMS_LAB
QLT-00002513,SL-00009592,LOT-202011-482495,,,P_425142,2020-11-17,2020-11-19,2020-11-21,2.80,32.0%,1.9%,0.5%,8,قبول,QMS_LAB
QLT-00002514,SL-00009593,LOT-202205-805872,,,P_RARE_Product_Family_01,2022-04-18,2022-04-18,2022-04-19,3.02,30.3%,2.3%,0.4%,7,قبول,QMS_LAB
QLT-00002515,SL-00009594,LOT-202204-999164,,,P_RARE_Product_Family_05,2022-03-23,2022-03-25,2022-03-25,4.14,22.3%,2.3%,0.9%,10,قبول,QMS_LAB
QLT-00002516,SL-00009599,LOT-202004-992017,,,P_995645,2020-03-31,2020-04-01,2020-04-01,3.06,31.2%,2.3%,0.5%,5,قبول,QMS_LAB
QLT-00002517,SL-00009600,LOT-202105-356059,,,P_RARE_Product_Family_05,2021-04-28,2021-04-28,2021-04-29,3.98,24.7%,1.1%,0.4%,9,قبول,QMS_LAB
QLT-00002518,SL-00009606,LOT-202106-469272,,,P_769459,2021-06-04,2021-06-04,2021-06-06,4.84,34.4%,2.3%,0.8%,7,قبول,QMS_LAB
QLT-00002519,SL-00009607,LOT-202007-696229,,,P_RARE_Product_Family_02,2020-07-02,2020-07-03,2020-07-04,2.86,32.7%,1.1%,0.8%,6,قبول,QMS_LAB
QLT-00002520,SL-00009610,LOT-202205-280039,,,P_RARE_Product_Family_04,2022-05-04,2022-05-05,2022-05-07,3.98,28.4%,1.4%,0.8%,3,قبول,QMS_LAB
QLT-00002521,SL-00009611,LOT-202108-090010,,,P_241469,2021-08-12,2021-08-12,2021-08-12,3.76,30.1%,1.1%,0.9%,4,قبول,QMS_LAB
QLT-00002522,SL-00009617,LOT-202103-680869,,,P_RARE_Product_Family_01,2021-03-12,2021-03-12,2021-03-13,2.90,20.4%,1.4%,0.4%,6,قبول,QMS_LAB
QLT-00002523,SL-00009622,LOT-202006-728404,,,P_RARE_Product_Family_03,2020-06-20,2020-06-21,2020-06-21,4.70,28.5%,1.4%,0.5%,3,قبول,QMS_LAB
QLT-00002524,SL-00009623,LOT-202106-175761,,,P_978590,2021-06-11,2021-06-13,2021-06-15,4.92,26.9%,1.7%,0.4%,10,قبول,QMS_LAB
QLT-00002525,SL-00009625,LOT-202005-408807,,,P_062869,2020-05-07,2020-05-09,2020-05-09,3.57,19.6%,1.4%,0.9%,8,قبول,QMS_LAB
QLT-00002526,SL-00009628,LOT-202103-340078,,,P_118397,2021-02-26,2021-02-26,2021-02-27,4.65,27.6%,1.4%,0.4%,5,قبول,QMS_LAB
QLT-00002527,SL-00009633,LOT-202007-754494,,,P_992126,2020-07-02,2020-07-02,2020-07-03,3.57,23.3%,1.7%,0.4%,10,قبول,QMS_LAB
QLT-00002528,SL-00009634,LOT-202111-801960,,,P_372127,2021-10-29,2021-10-31,2021-11-02,3.35,24.9%,1.3%,0.5%,3,قبول,QMS_LAB
QLT-00002529,SL-00009638,LOT-202108-693977,,,P_353119,2021-08-03,2021-08-04,2021-08-06,4.65,31.4%,1.7%,0.8%,7,قبول,QMS_LAB
QLT-00002530,SL-00009639,LOT-202004-550054,,,P_817472,2020-04-08,2020-04-08,2020-04-08,4.43,33.0%,1.3%,0.9%,8,قبول,QMS_LAB
QLT-00002531,SL-00009642,LOT-202111-088325,,,P_490196,2021-11-10,2021-11-10,2021-11-11,4.01,31.5%,2.1%,1.1%,3,قبول,QMS_LAB
QLT-00002532,SL-00009647,LOT-202203-266036,,,P_787809,2022-03-11,2022-03-13,2022-03-14,2.93,23.4%,2.1%,0.7%,6,قبول,QMS_LAB
QLT-00002533,SL-00009648,LOT-202108-811041,,,P_802934,2021-07-23,2021-07-23,2021-07-23,4.86,24.1%,1.8%,0.7%,9,قبول,QMS_LAB
QLT-00002534,SL-00009649,LOT-202106-442751,,,P_275491,2021-06-10,2021-06-11,2021-06-13,2.89,22.5%,2.1%,0.6%,8,قبول,QMS_LAB
QLT-00002535,SL-00009652,LOT-202108-936143,,,P_RARE_Product_Family_05,2021-07-17,2021-07-19,2021-07-19,4.90,28.8%,2.1%,1.2%,9,قبول,QMS_LAB
QLT-00002536,SL-00009656,LOT-202008-612045,,,P_RARE_Product_Family_02,2020-07-22,2020-07-23,2020-07-25,4.01,18.2%,2.4%,0.6%,5,قبول,QMS_LAB
QLT-00002537,SL-00009657,LOT-202111-148552,,,P_RARE_Product_Family_03,2021-10-21,2021-10-21,2021-10-21,3.78,19.8%,2.1%,0.7%,6,قبول,QMS_LAB
QLT-00002538,SL-00009658,LOT-202008-633968,,,P_RARE_Product_Family_03,2020-08-18,2020-08-19,2020-08-20,4.86,27.9%,2.1%,1.1%,3,قبول,QMS_LAB
QLT-00002539,SL-00009661,LOT-202010-485818,,,P_003843,2020-10-09,2020-10-11,2020-10-12,4.21,32.6%,2.4%,1.2%,4,قبول,QMS_LAB
QLT-00002540,SL-00009666,LOT-202006-538804,,,P_RARE_Product_Family_03,2020-05-31,2020-06-01,2020-06-01,3.13,24.5%,2.4%,0.8%,7,قبول,QMS_LAB
QLT-00002541,SL-00009670,LOT-202110-534845,,,P_RARE_Product_Family_03,2021-09-18,2021-09-20,2021-09-20,3.98,20.9%,2.4%,0.8%,7,قبول,QMS_LAB
QLT-00002542,SL-00009677,LOT-202101-419889,,,P_441538,2021-01-08,2021-01-08,2021-01-10,4.21,19.3%,1.1%,0.8%,6,قبول,QMS_LAB
QLT-00002543,SL-00009681,LOT-202104-662742,,,P_434331,2021-04-20,2021-04-21,2021-04-22,4.99,28.6%,1.8%,0.8%,9,قبول,QMS_LAB
QLT-00002544,SL-00009684,LOT-202103-866210,,,P_950323,2021-03-10,2021-03-12,2021-03-13,3.87,19.6%,1.8%,1.2%,6,قبول,QMS_LAB
QLT-00002545,SL-00009693,LOT-202008-732925,,,P_700346,2020-07-24,2020-07-24,2020-07-25,4.42,32.8%,1.5%,1.1%,3,قبول,QMS_LAB
QLT-00002546,SL-00009696,LOT-202005-145461,,,P_542809,2020-04-30,2020-05-02,2020-05-02,3.34,24.8%,1.5%,0.7%,6,قبول,QMS_LAB
QLT-00002547,SL-00009699,LOT-202012-908865,,,P_230552,2020-12-23,2020-12-23,2020-12-25,3.56,23.2%,1.8%,0.6%,5,قبول,QMS_LAB
QLT-00002548,SL-00009700,LOT-202012-781337,,,P_427873,2020-12-10,2020-12-12,2020-12-12,3.20,24.5%,1.9%,0.8%,3,قبول,QMS_LAB
QLT-00002549,SL-00009701,LOT-202005-212142,,,P_RARE_Product_Family_03,2020-05-22,2020-05-23,2020-05-24,2.98,26.1%,1.6%,0.9%,4,قبول,QMS_LAB
QLT-00002550,SL-00009706,LOT-202107-947106,,,P_425142,2021-07-03,2021-07-05,2021-07-07,4.06,34.1%,1.6%,0.4%,9,قبول,QMS_LAB
QLT-00002551,SL-00009710,LOT-202007-314049,,,P_108570,2020-07-12,2020-07-13,2020-07-15,3.20,20.7%,1.6%,0.4%,9,قبول,QMS_LAB
QLT-00002552,SL-00009720,LOT-202205-538934,,,P_821814,2022-05-01,2022-05-01,2022-05-02,3.20,34.0%,1.3%,0.9%,7,قبول,QMS_LAB
QLT-00002553,SL-00009726,LOT-202011-722500,,,P_328965,2020-10-26,2020-10-26,2020-10-26,4.55,24.3%,1.6%,0.4%,9,قبول,QMS_LAB
QLT-00002554,SL-00009727,LOT-202011-809110,,,P_461887,2020-11-10,2020-11-12,2020-11-13,4.32,25.9%,1.3%,0.5%,10,قبول,QMS_LAB
QLT-00002555,SL-00009732,LOT-202002-646812,,,P_282386,2020-01-23,2020-01-23,2020-01-23,4.69,33.9%,1.3%,1.2%,7,قبول,QMS_LAB
QLT-00002556,SL-00009735,LOT-202003-861605,,,P_693439,2020-03-20,2020-03-22,2020-03-23,4.46,18.5%,1.0%,0.4%,8,قبول,QMS_LAB
QLT-00002557,SL-00009738,LOT-202006-798818,,,P_RARE_Product_Family_04,2020-05-29,2020-05-30,2020-06-01,4.73,34.8%,1.3%,0.4%,5,قبول,QMS_LAB
QLT-00002558,SL-00009742,LOT-202011-438451,,,P_703184,2020-11-12,2020-11-14,2020-11-16,4.69,30.1%,1.0%,0.8%,5,قبول,QMS_LAB
QLT-00002559,SL-00009745,LOT-202005-513053,,,P_RARE_Product_Family_03,2020-04-25,2020-04-26,2020-04-28,3.61,22.1%,1.0%,0.4%,8,قبول,QMS_LAB
QLT-00002560,SL-00009748,LOT-202010-692221,,,P_266515,2020-10-05,2020-10-05,2020-10-06,4.73,31.0%,1.0%,0.9%,3,قبول,QMS_LAB
QLT-00002561,SL-00009753,LOT-202011-080639,,,P_655926,2020-11-28,2020-11-28,2020-11-29,3.61,18.3%,2.3%,0.8%,6,قبول,QMS_LAB
QLT-00002562,SL-00009754,LOT-202107-779591,,,P_407811,2021-07-09,2021-07-10,2021-07-10,3.84,33.7%,1.0%,0.8%,5,قبول,QMS_LAB
QLT-00002563,SL-00009759,LOT-202008-247851,,,P_RARE_Product_Family_03,2020-07-26,2020-07-26,2020-07-28,4.96,25.7%,1.0%,0.4%,8,قبول,QMS_LAB
QLT-00002564,SL-00009760,LOT-202106-775722,,,P_RARE_Product_Family_04,2021-06-10,2021-06-12,2021-06-14,3.41,21.0%,2.3%,1.1%,7,قبول,QMS_LAB
QLT-00002565,SL-00009765,LOT-202009-450673,,,P_RARE_Product_Family_03,2020-09-04,2020-09-04,2020-09-04,4.49,29.0%,2.3%,0.6%,4,قبول,QMS_LAB
QLT-00002566,SL-00009770,LOT-202004-593834,,,P_RARE_Product_Family_03,2020-03-22,2020-03-23,2020-03-24,3.41,34.2%,2.0%,0.7%,5,قبول,QMS_LAB
QLT-00002567,SL-00009771,LOT-202011-899047,,,P_RARE_Product_Family_02,2020-11-07,2020-11-09,2020-11-09,3.63,32.6%,2.3%,0.6%,4,قبول,QMS_LAB
QLT-00002568,SL-00009784,LOT-202010-455708,,,P_593409,2020-10-08,2020-10-10,2020-10-10,4.71,19.9%,2.0%,0.6%,7,قبول,QMS_LAB
QLT-00002569,SL-00009791,LOT-202005-466582,,,P_512113,2020-05-02,2020-05-02,2020-05-03,3.63,25.1%,1.7%,0.7%,8,قبول,QMS_LAB
QLT-00002570,SL-00009792,LOT-202005-793908,,,P_RARE_Product_Family_03,2020-05-08,2020-05-09,2020-05-09,3.86,23.5%,2.0%,0.6%,7,قبول,QMS_LAB
QLT-00002571,SL-00009794,LOT-202009-127999,,,P_RARE_Product_Family_04,2020-08-23,2020-08-24,2020-08-26,4.71,33.1%,1.7%,1.1%,5,قبول,QMS_LAB
QLT-00002572,SL-00009800,LOT-202003-267356,,,P_218456,2020-02-26,2020-02-26,2020-02-28,4.88,31.4%,1.2%,0.4%,10,قبول,QMS_LAB
QLT-00002573,SL-00009805,LOT-202112-126639,,,P_264078,2021-12-17,2021-12-19,2021-12-21,3.81,23.3%,1.2%,0.9%,5,قبول,QMS_LAB
QLT-00002574,SL-00009806,LOT-202007-286894,,,P_RARE_Product_Family_02,2020-07-16,2020-07-16,2020-07-16,4.03,21.7%,1.5%,0.8%,4,قبول,QMS_LAB
QLT-00002575,SL-00009810,LOT-202108-747870,,,P_062869,2021-08-11,2021-08-12,2021-08-12,4.88,18.1%,1.5%,0.8%,4,قبول,QMS_LAB
QLT-00002576,SL-00009821,LOT-202204-317995,,,P_108570,2022-03-25,2022-03-27,2022-03-29,2.91,22.3%,0.9%,0.4%,5,قبول,QMS_LAB
QLT-00002577,SL-00009833,LOT-202010-094530,,,P_RARE_Product_Family_03,2020-10-09,2020-10-09,2020-10-09,2.91,26.0%,1.2%,0.8%,7,قبول,QMS_LAB
QLT-00002578,SL-00009834,LOT-202011-816363,,,P_709297,2020-10-21,2020-10-22,2020-10-22,3.99,34.1%,1.2%,1.2%,4,قبول,QMS_LAB
QLT-00002579,SL-00009835,LOT-202007-967466,,,P_146351,2020-07-02,2020-07-02,2020-07-04,3.76,18.7%,0.9%,0.4%,5,قبول,QMS_LAB
QLT-00002580,SL-00009842,LOT-202012-049632,,,P_631577,2020-12-02,2020-12-02,2020-12-03,4.86,24.6%,1.8%,0.5%,8,قبول,QMS_LAB
QLT-00002581,SL-00009843,LOT-202101-012502,,,P_957710,2021-01-19,2021-01-20,2021-01-20,2.88,23.0%,2.1%,0.4%,7,قبول,QMS_LAB
QLT-00002582,SL-00009845,LOT-201912-171136,,,P_RARE_Product_Family_04,2019-11-28,2019-11-29,2019-12-01,3.74,32.7%,1.8%,0.9%,5,قبول,QMS_LAB
QLT-00002583,SL-00009848,LOT-202107-870890,,,P_048748,2021-07-15,2021-07-15,2021-07-15,4.01,32.0%,2.1%,0.9%,10,قبول,QMS_LAB
QLT-00002584,SL-00009850,LOT-202007-597747,,,P_RARE_Product_Family_03,2020-07-11,2020-07-13,2020-07-15,4.68,31.1%,2.1%,0.5%,4,قبول,QMS_LAB
QLT-00002585,SL-00009855,LOT-202202-727639,,,P_RARE_Product_Family_02,2022-02-10,2022-02-10,2022-02-12,3.55,22.2%,2.1%,0.9%,9,قبول,QMS_LAB
QLT-00002586,SL-00009862,LOT-202111-737560,,,P_047796,2021-10-27,2021-10-29,2021-10-31,4.54,23.0%,2.1%,1.0%,8,قبول,QMS_LAB
QLT-00002587,SL-00009865,LOT-202107-413098,,,P_893202,2021-07-01,2021-07-02,2021-07-03,4.32,24.7%,1.8%,1.1%,9,قبول,QMS_LAB
QLT-00002588,SL-00009868,LOT-202105-230093,,,P_RARE_Product_Family_05,2021-05-18,2021-05-20,2021-05-21,3.19,32.7%,1.8%,0.6%,6,قبول,QMS_LAB
QLT-00002589,SL-00009869,LOT-202104-412911,,,P_RARE_Product_Family_03,2021-04-05,2021-04-05,2021-04-05,3.42,31.1%,2.1%,0.5%,5,قبول,QMS_LAB
QLT-00002590,SL-00009875,LOT-202012-531944,,,P_353119,2020-12-11,2020-12-11,2020-12-13,2.88,19.3%,1.8%,0.9%,5,قبول,QMS_LAB
QLT-00002591,SL-00009878,LOT-202009-014876,,,P_RARE_Product_Family_03,2020-09-10,2020-09-12,2020-09-14,4.01,28.2%,1.8%,0.5%,8,قبول,QMS_LAB
QLT-00002592,SL-00009882,LOT-202101-605937,,,P_RARE_Product_Family_03,2021-01-09,2021-01-10,2021-01-10,4.65,20.6%,2.4%,1.1%,8,قبول,QMS_LAB
QLT-00002593,SL-00009883,LOT-202203-617016,,,P_RARE_Product_Family_02,2022-03-11,2022-03-13,2022-03-15,4.88,19.0%,1.1%,1.1%,7,قبول,QMS_LAB
QLT-00002594,SL-00009888,LOT-202205-999206,,,P_RARE_Product_Family_05,2022-05-08,2022-05-09,2022-05-11,3.80,28.0%,1.1%,0.7%,10,قبول,QMS_LAB
QLT-00002595,SL-00009893,LOT-202101-924654,,,P_334309,2021-01-14,2021-01-14,2021-01-16,3.53,32.4%,1.1%,1.1%,7,قبول,QMS_LAB
QLT-00002596,SL-00009896,LOT-202008-933282,,,P_881226,2020-08-08,2020-08-10,2020-08-11,4.65,24.4%,1.1%,0.7%,10,قبول,QMS_LAB
QLT-00002597,SL-00009898,LOT-202205-365282,,,P_700346,2022-05-19,2022-05-21,2022-05-23,3.80,31.7%,1.4%,1.1%,4,قبول,QMS_LAB
QLT-00002598,SL-00009899,LOT-202002-363061,,,P_052400,2020-01-31,2020-02-01,2020-02-02,3.57,33.3%,1.1%,1.2%,5,قبول,QMS_LAB
QLT-00002599,SL-00009900,LOT-202101-068642,,,P_RARE_Product_Family_05,2021-01-14,2021-01-16,2021-01-16,3.37,30.1%,1.7%,0.9%,3,قبول,QMS_LAB
QLT-00002600,SL-00009906,LOT-202006-983491,,,P_566895,2020-06-19,2020-06-21,2020-06-22,4.71,20.4%,2.1%,0.4%,5,قبول,QMS_LAB
QLT-00002601,SL-00009907,LOT-202007-975041,,,P_RARE_Product_Family_03,2020-07-11,2020-07-12,2020-07-14,4.49,22.0%,1.7%,0.5%,6,قبول,QMS_LAB
QLT-00002602,SL-00009910,LOT-202002-546136,,,P_RARE_Product_Family_03,2020-01-30,2020-01-30,2020-01-30,3.94,25.8%,2.1%,0.6%,9,قبول,QMS_LAB
QLT-00002603,SL-00009911,LOT-202005-295424,,,P_230552,2020-05-13,2020-05-14,2020-05-15,4.17,24.2%,2.4%,0.5%,8,قبول,QMS_LAB
QLT-00002604,SL-00009917,LOT-202111-597842,,,P_771330,2021-11-16,2021-11-17,2021-11-17,2.82,33.8%,2.1%,1.0%,6,قبول,QMS_LAB
QLT-00002605,SL-00009922,LOT-202007-286894,,,P_RARE_Product_Family_02,2020-07-23,2020-07-25,2020-07-26,3.18,23.3%,2.4%,0.4%,9,قبول,QMS_LAB
QLT-00002606,SL-00009923,LOT-202107-011445,,,P_264078,2021-07-02,2021-07-03,2021-07-03,2.96,24.9%,2.0%,0.5%,10,قبول,QMS_LAB
QLT-00002607,SL-00009928,LOT-202011-020672,,,P_RARE_Product_Family_04,2020-11-16,2020-11-16,2020-11-16,3.22,24.2%,2.4%,0.5%,7,قبول,QMS_LAB
QLT-00002608,SL-00009933,LOT-202105-615347,,,P_735610,2021-05-15,2021-05-15,2021-05-15,4.30,28.5%,2.0%,0.5%,10,قبول,QMS_LAB
QLT-00002609,SL-00009936,LOT-202111-408583,,,P_591650,2021-11-14,2021-11-15,2021-11-15,3.18,19.6%,2.0%,0.9%,7,قبول,QMS_LAB
QLT-00002610,SL-00009938,LOT-202003-139655,,,P_242632,2020-02-24,2020-02-26,2020-02-28,3.22,20.5%,2.0%,1.0%,5,قبول,QMS_LAB
QLT-00002611,SL-00009939,LOT-202009-012796,,,P_635050,2020-08-30,2020-08-30,2020-08-31,3.45,18.9%,2.4%,0.9%,4,قبول,QMS_LAB
QLT-00002612,SL-00009946,LOT-202006-215328,,,P_425142,2020-06-11,2020-06-13,2020-06-14,3.39,19.8%,1.1%,0.8%,6,قبول,QMS_LAB
QLT-00002613,SL-00009952,LOT-202011-827085,,,P_441295,2020-11-08,2020-11-09,2020-11-09,3.39,33.1%,0.8%,0.4%,4,قبول,QMS_LAB
QLT-00002614,SL-00009953,LOT-202101-876936,,,P_RARE_Product_Family_01,2020-12-26,2020-12-28,2020-12-29,3.61,31.5%,1.2%,1.2%,3,قبول,QMS_LAB
QLT-00002615,SL-00009954,LOT-202111-893491,,,P_RARE_Product_Family_03,2021-11-19,2021-11-20,2021-11-21,4.74,23.4%,1.2%,0.8%,6,قبول,QMS_LAB
QLT-00002616,SL-00009959,LOT-202007-975041,,,P_RARE_Product_Family_03,2020-07-12,2020-07-12,2020-07-12,3.66,32.4%,1.2%,0.4%,9,قبول,QMS_LAB
QLT-00002617,SL-00009967,LOT-202110-215564,,,P_RARE_Product_Family_02,2021-10-06,2021-10-06,2021-10-06,4.17,20.4%,2.1%,1.0%,6,قبول,QMS_LAB
QLT-00002618,SL-00009973,LOT-202109-167745,,,P_699350,2021-09-11,2021-09-13,2021-09-14,4.51,32.5%,1.5%,0.8%,3,قبول,QMS_LAB
QLT-00002619,SL-00009978,LOT-202111-922749,,,P_043416,2021-11-24,2021-11-24,2021-11-24,4.24,33.2%,1.1%,0.8%,6,قبول,QMS_LAB
QLT-00002620,SL-00009979,LOT-202010-145099,,,P_514917,2020-10-20,2020-10-21,2020-10-23,4.47,31.6%,1.5%,0.7%,5,قبول,QMS_LAB
QLT-00002621,SL-00009982,LOT-202107-963159,,,P_RARE_Product_Family_05,2021-07-04,2021-07-04,2021-07-04,3.87,20.4%,1.6%,0.7%,9,قبول,QMS_LAB
QLT-00002622,SL-00009988,LOT-202107-015381,,,P_593409,2021-06-19,2021-06-21,2021-06-22,3.83,19.5%,1.6%,0.6%,3,قبول,QMS_LAB
QLT-00002623,SL-00009989,LOT-202008-066285,,,P_366749,2020-07-26,2020-07-27,2020-07-29,3.60,21.1%,1.3%,0.7%,4,قبول,QMS_LAB
QLT-00002624,SL-00009993,LOT-202002-513847,,,P_427873,2020-02-07,2020-02-09,2020-02-09,2.93,21.9%,1.3%,1.1%,10,قبول,QMS_LAB
QLT-00002625,SL-00009996,LOT-202008-962265,,,P_RARE_Product_Family_03,2020-08-05,2020-08-05,2020-08-05,4.01,30.0%,1.3%,0.6%,7,قبول,QMS_LAB
QLT-00002626,SL-00009999,LOT-202203-634046,,,P_174951,2022-03-12,2022-03-12,2022-03-14,2.98,22.8%,1.3%,1.2%,8,قبول,QMS_LAB
QLT-00002627,SL-00010000,LOT-202103-675033,,,P_003764,2021-03-12,2021-03-12,2021-03-13,4.93,23.9%,0.9%,0.4%,10,قبول,QMS_LAB
QLT-00002628,SL-00010001,LOT-202002-796157,,,P_964660,2020-01-16,2020-01-17,2020-01-17,2.96,22.3%,1.3%,1.2%,9,قبول,QMS_LAB
QLT-00002629,SL-00010005,LOT-202006-534760,,,P_341223,2020-06-25,2020-06-27,2020-06-27,3.85,32.9%,0.9%,0.9%,5,قبول,QMS_LAB
QLT-00002630,SL-00010010,LOT-202012-921466,,,P_700346,2020-12-08,2020-12-09,2020-12-11,4.93,27.7%,1.2%,0.8%,4,قبول,QMS_LAB
QLT-00002631,SL-00010015,LOT-202010-199391,,,P_186648,2020-09-30,2020-10-02,2020-10-04,3.81,18.7%,1.2%,1.2%,9,قبول,QMS_LAB
QLT-00002632,SL-00010023,LOT-202205-455613,,,P_298416,2022-05-19,2022-05-21,2022-05-23,3.67,26.1%,1.6%,0.4%,3,قبول,QMS_LAB
QLT-00002633,SL-00010028,LOT-202106-857078,,,P_352669,2021-06-14,2021-06-16,2021-06-16,3.24,25.2%,1.6%,0.6%,6,قبول,QMS_LAB
QLT-00002634,SL-00010029,LOT-202108-464926,,,P_268087,2021-08-01,2021-08-01,2021-08-03,3.47,23.6%,1.9%,0.5%,5,قبول,QMS_LAB
