Cost_Record_ID,Sales_Line_ID,شماره فاکتور,Product_ID,هزینه کل به ازای واحد,مقدار برگشتی,مبلغ برگشتی,Cost_Close_Date,Available_At,Source_System
COST-SL-00002376,SL-00002376,T_599234,P_995713,872.94,0.00,0.00,2022-03-13,2022-03-14,ERP_COSTING
COST-SL-00002381,SL-00002381,T_180881,P_160974,189.01,0.00,0.00,2021-09-21,2021-09-22,ERP_COSTING
COST-SL-00002382,SL-00002382,T_586402,P_RARE_Product_Family_03,145.03,0.00,0.00,2020-03-26,2020-03-28,ERP_COSTING
COST-SL-00002384,SL-00002384,T_703707,P_RARE_Product_Family_02,796.68,0.00,0.00,2022-05-28,2022-05-30,ERP_COSTING
COST-SL-00002385,SL-00002385,T_370517,P_791121,125.95,0.00,0.00,2021-08-30,2021-08-30,ERP_COSTING
COST-SL-00002394,SL-00002394,T_078010,P_434331,61.63,0.00,0.00,2020-09-06,2020-09-06,ERP_COSTING
COST-SL-00002399,SL-00002399,T_540032,P_336235,80.98,0.00,0.00,2021-03-01,2021-03-03,ERP_COSTING
COST-SL-00002402,SL-00002402,T_758513,P_RARE_Product_Family_03,100.72,0.00,0.00,2020-08-04,2020-08-05,ERP_COSTING
COST-SL-00002404,SL-00002404,T_933342,P_RARE_Product_Family_03,142.62,0.00,0.00,2021-09-26,2021-09-27,ERP_COSTING
COST-SL-00002405,SL-00002405,T_931104,P_947367,239.75,0.00,0.00,2021-09-17,2021-09-17,ERP_COSTING
COST-SL-00002408,SL-00002408,T_408066,P_RARE_Product_Family_05,219.01,0.00,0.00,2021-05-31,2021-06-02,ERP_COSTING
COST-SL-00002413,SL-00002413,T_853273,P_970810,870.24,0.00,0.00,2022-03-03,2022-03-05,ERP_COSTING
COST-SL-00002414,SL-00002414,T_502842,P_RARE_Product_Family_01,82.44,0.00,0.00,2020-10-31,2020-10-31,ERP_COSTING
COST-SL-00002419,SL-00002419,T_379228,P_769459,109.65,0.00,0.00,2020-08-25,2020-08-27,ERP_COSTING
COST-SL-00002420,SL-00002420,T_566399,P_709297,72.00,0.00,0.00,2020-06-18,2020-06-18,ERP_COSTING
COST-SL-00002423,SL-00002423,T_629951,P_RARE_Product_Family_03,249.01,0.00,0.00,2022-01-01,2022-01-02,ERP_COSTING
COST-SL-00002425,SL-00002425,T_893648,P_498378,968.86,0.00,0.00,2022-02-28,2022-03-01,ERP_COSTING
COST-SL-00002430,SL-00002430,T_288736,P_RARE_Product_Family_02,239.46,0.00,0.00,2021-12-29,2021-12-31,ERP_COSTING
COST-SL-00002431,SL-00002431,T_155503,P_700346,162.49,0.00,0.00,2021-08-13,2021-08-13,ERP_COSTING
COST-SL-00002440,SL-00002440,T_270527,P_062869,199.81,0.00,0.00,2021-10-17,2021-10-17,ERP_COSTING
COST-SL-00002441,SL-00002441,T_320114,P_RARE_Product_Family_05,"1,238.85",0.00,0.00,2022-03-25,2022-03-27,ERP_COSTING
COST-SL-00002445,SL-00002445,T_982609,P_821914,143.12,0.00,0.00,2020-10-22,2020-10-23,ERP_COSTING
COST-SL-00002446,SL-00002446,T_295121,P_983543,528.32,0.00,0.00,2021-11-30,2021-11-30,ERP_COSTING
COST-SL-00002450,SL-00002450,T_067316,P_082250,90.55,0.00,0.00,2020-03-21,2020-03-23,ERP_COSTING
COST-SL-00002460,SL-00002460,T_075244,P_RARE_Product_Family_03,90.72,0.00,0.00,2020-04-24,2020-04-25,ERP_COSTING
COST-SL-00002463,SL-00002463,T_261042,P_RARE_Product_Family_04,46.65,0.00,0.00,2020-09-06,2020-09-08,ERP_COSTING
COST-SL-00002466,SL-00002466,T_958026,P_RARE_Product_Family_04,74.73,0.00,0.00,2021-05-26,2021-05-27,ERP_COSTING
COST-SL-00002467,SL-00002467,T_898353,P_431608,85.41,0.00,0.00,2021-05-03,2021-05-03,ERP_COSTING
COST-SL-00002472,SL-00002472,T_236855,P_RARE_Product_Family_04,464.68,0.00,0.00,2022-02-16,2022-02-18,ERP_COSTING
COST-SL-00002475,SL-00002475,T_610948,P_984332,102.86,0.00,0.00,2020-09-21,2020-09-22,ERP_COSTING
COST-SL-00002478,SL-00002478,T_268166,P_RARE_Product_Family_03,120.80,0.00,0.00,2020-07-21,2020-07-21,ERP_COSTING
COST-SL-00002480,SL-00002480,T_899990,P_RARE_Product_Family_05,67.36,0.00,0.00,2020-08-25,2020-08-25,ERP_COSTING
COST-SL-00002481,SL-00002481,T_014194,P_691393,239.47,0.00,0.00,2021-09-26,2021-09-28,ERP_COSTING
COST-SL-00002484,SL-00002484,T_257731,P_571374,152.40,0.00,0.00,2020-09-23,2020-09-24,ERP_COSTING
COST-SL-00002491,SL-00002491,T_426045,P_569202,85.71,0.00,0.00,2020-04-14,2020-04-14,ERP_COSTING
COST-SL-00002492,SL-00002492,T_996101,P_RARE_Product_Family_05,117.35,0.00,0.00,2020-02-06,2020-02-07,ERP_COSTING
COST-SL-00002496,SL-00002496,T_658005,P_507205,211.21,0.00,0.00,2021-09-24,2021-09-26,ERP_COSTING
COST-SL-00002497,SL-00002497,T_548955,P_RARE_Product_Family_05,228.96,0.00,0.00,2021-06-13,2021-06-13,ERP_COSTING
COST-SL-00002502,SL-00002502,T_590241,P_434331,502.92,0.00,0.00,2022-04-20,2022-04-21,ERP_COSTING
COST-SL-00002507,SL-00002507,T_486423,P_305089,214.43,0.00,0.00,2021-08-25,2021-08-26,ERP_COSTING
COST-SL-00002508,SL-00002508,T_593784,P_RARE_Product_Family_03,246.75,0.00,0.00,2021-09-03,2021-09-04,ERP_COSTING
COST-SL-00002509,SL-00002509,T_784179,P_679203,616.51,0.00,0.00,2022-05-15,2022-05-17,ERP_COSTING
COST-SL-00002512,SL-00002512,T_037083,P_282386,94.89,0.00,0.00,2020-02-25,2020-02-26,ERP_COSTING
COST-SL-00002516,SL-00002516,T_315083,P_691393,98.98,0.00,0.00,2020-09-14,2020-09-14,ERP_COSTING
COST-SL-00002517,SL-00002517,T_115455,P_RARE_Product_Family_03,88.54,0.00,0.00,2020-03-07,2020-03-09,ERP_COSTING
COST-SL-00002518,SL-00002518,T_732567,P_873855,239.34,0.00,0.00,2021-10-23,2021-10-25,ERP_COSTING
COST-SL-00002521,SL-00002521,T_067186,P_672805,159.22,0.00,0.00,2020-12-10,2020-12-11,ERP_COSTING
COST-SL-00002526,SL-00002526,T_486670,P_840489,347.96,0.00,0.00,2021-12-26,2021-12-26,ERP_COSTING
COST-SL-00002527,SL-00002527,T_940333,P_RARE_Product_Family_03,133.82,0.00,0.00,2021-02-02,2021-02-03,ERP_COSTING
COST-SL-00002530,SL-00002530,T_549798,P_RARE_Product_Family_03,95.78,0.00,0.00,2020-09-09,2020-09-10,ERP_COSTING
COST-SL-00002537,SL-00002537,T_963858,P_571374,143.07,0.00,0.00,2020-09-18,2020-09-20,ERP_COSTING
COST-SL-00002540,SL-00002540,T_454360,P_RARE_Product_Family_05,564.10,0.00,0.00,2021-12-16,2021-12-18,ERP_COSTING
COST-SL-00002546,SL-00002546,T_787821,P_RARE_Product_Family_02,97.88,0.00,0.00,2020-07-25,2020-07-27,ERP_COSTING
COST-SL-00002547,SL-00002547,T_817159,P_708575,141.18,0.00,0.00,2020-11-16,2020-11-16,ERP_COSTING
COST-SL-00002550,SL-00002550,T_500853,P_RARE_Product_Family_04,298.11,0.00,0.00,2021-10-29,2021-10-29,ERP_COSTING
COST-SL-00002551,SL-00002551,T_601316,P_561054,72.85,0.00,0.00,2020-06-24,2020-06-26,ERP_COSTING
COST-SL-00002554,SL-00002554,T_102214,P_RARE_Product_Family_04,68.58,0.00,0.00,2021-04-10,2021-04-11,ERP_COSTING
COST-SL-00002557,SL-00002557,T_451831,P_264078,132.83,0.00,0.00,2020-12-28,2020-12-30,ERP_COSTING
COST-SL-00002562,SL-00002562,T_728308,P_509864,239.89,0.00,0.00,2021-08-19,2021-08-19,ERP_COSTING
COST-SL-00002563,SL-00002563,T_438101,P_425142,202.56,0.00,0.00,2021-07-17,2021-07-18,ERP_COSTING
COST-SL-00002565,SL-00002565,T_197998,P_376561,205.37,0.00,0.00,2021-11-15,2021-11-16,ERP_COSTING
COST-SL-00002568,SL-00002568,T_838989,P_218456,121.82,0.00,0.00,2021-02-01,2021-02-02,ERP_COSTING
COST-SL-00002573,SL-00002573,T_444709,P_RARE_Product_Family_03,63.59,0.00,0.00,2020-03-10,2020-03-12,ERP_COSTING
COST-SL-00002574,SL-00002574,T_083640,P_RARE_Product_Family_03,85.93,0.00,0.00,2021-03-14,2021-03-15,ERP_COSTING
COST-SL-00002578,SL-00002578,T_000897,P_RARE_Product_Family_03,116.78,0.00,0.00,2020-12-05,2020-12-05,ERP_COSTING
COST-SL-00002579,SL-00002579,T_045149,P_114128,107.19,0.00,0.00,2020-08-13,2020-08-15,ERP_COSTING
COST-SL-00002580,SL-00002580,T_906576,P_RARE_Product_Family_03,69.43,0.00,0.00,2020-05-12,2020-05-13,ERP_COSTING
COST-SL-00002583,SL-00002583,T_312449,P_192876,107.77,0.00,0.00,2021-02-07,2021-02-07,ERP_COSTING
COST-SL-00002585,SL-00002585,T_714975,P_341223,79.06,0.00,0.00,2020-03-20,2020-03-20,ERP_COSTING
COST-SL-00002590,SL-00002590,T_005240,P_577169,231.57,0.00,0.00,2021-08-25,2021-08-27,ERP_COSTING
COST-SL-00002591,SL-00002591,T_113825,P_913911,86.62,0.00,0.00,2020-05-11,2020-05-12,ERP_COSTING
COST-SL-00002601,SL-00002601,T_926073,P_682478,354.96,0.00,0.00,2021-11-30,2021-12-01,ERP_COSTING
COST-SL-00002604,SL-00002604,T_644630,P_232438,174.00,0.00,0.00,2021-05-28,2021-05-28,ERP_COSTING
COST-SL-00002605,SL-00002605,T_322846,P_861507,207.22,0.00,0.00,2021-06-23,2021-06-25,ERP_COSTING
COST-SL-00002610,SL-00002610,T_842138,P_RARE_Product_Family_02,97.66,0.00,0.00,2021-05-09,2021-05-10,ERP_COSTING
COST-SL-00002611,SL-00002611,T_817265,P_RARE_Product_Family_01,429.85,0.00,0.00,2021-12-07,2021-12-09,ERP_COSTING
COST-SL-00002617,SL-00002617,T_610856,P_RARE_Product_Family_04,86.82,0.00,0.00,2020-08-27,2020-08-29,ERP_COSTING
COST-SL-00002622,SL-00002622,T_662050,P_118397,610.13,0.00,0.00,2022-02-15,2022-02-17,ERP_COSTING
COST-SL-00002623,SL-00002623,T_674114,P_RARE_Product_Family_03,147.14,0.00,0.00,2021-05-23,2021-05-24,ERP_COSTING
COST-SL-00002627,SL-00002627,T_139499,P_RARE_Product_Family_02,109.44,0.00,0.00,2020-08-01,2020-08-01,ERP_COSTING
COST-SL-00002628,SL-00002628,T_846942,P_936652,401.75,0.00,0.00,2021-11-22,2021-11-22,ERP_COSTING
COST-SL-00002633,SL-00002633,T_612916,P_RARE_Product_Family_04,174.72,17.35,"3,441.72",2021-11-04,2021-11-04,ERP_COSTING
COST-SL-00002636,SL-00002636,T_560030,P_275491,164.53,0.00,0.00,2021-06-14,2021-06-15,ERP_COSTING
COST-SL-00002638,SL-00002638,T_144852,P_945104,250.91,0.00,0.00,2021-09-26,2021-09-28,ERP_COSTING
COST-SL-00002639,SL-00002639,T_127282,P_RARE_Product_Family_03,240.55,0.00,0.00,2021-11-30,2021-11-30,ERP_COSTING
COST-SL-00002642,SL-00002642,T_115064,P_278460,332.09,0.00,0.00,2021-11-15,2021-11-15,ERP_COSTING
COST-SL-00002643,SL-00002643,T_241863,P_264078,240.84,0.00,0.00,2021-10-09,2021-10-11,ERP_COSTING
COST-SL-00002644,SL-00002644,T_292402,P_RARE_Product_Family_02,108.74,0.00,0.00,2020-08-19,2020-08-19,ERP_COSTING
COST-SL-00002647,SL-00002647,T_949648,P_576643,158.80,0.00,0.00,2020-10-30,2020-10-31,ERP_COSTING
COST-SL-00002649,SL-00002649,T_976105,P_769459,121.58,0.00,0.00,2020-09-03,2020-09-05,ERP_COSTING
COST-SL-00002652,SL-00002652,T_474539,P_054756,86.90,0.00,0.00,2020-10-30,2020-10-31,ERP_COSTING
COST-SL-00002653,SL-00002653,T_233896,P_RARE_Product_Family_02,125.12,0.00,0.00,2020-08-16,2020-08-18,ERP_COSTING
COST-SL-00002654,SL-00002654,T_144153,P_RARE_Product_Family_04,57.34,0.00,0.00,2021-07-21,2021-07-22,ERP_COSTING
COST-SL-00002659,SL-00002659,T_260826,P_RARE_Product_Family_03,87.14,0.00,0.00,2020-05-23,2020-05-23,ERP_COSTING
COST-SL-00002660,SL-00002660,T_214066,P_RARE_Product_Family_05,173.42,0.00,0.00,2021-09-25,2021-09-25,ERP_COSTING
COST-SL-00002667,SL-00002667,T_366998,P_RARE_Product_Family_03,63.23,0.00,0.00,2020-11-30,2020-12-01,ERP_COSTING
COST-SL-00002671,SL-00002671,T_692186,P_RARE_Product_Family_04,100.44,7.30,754.82,2021-07-04,2021-07-04,ERP_COSTING
COST-SL-00002676,SL-00002676,T_963127,P_805385,188.48,0.00,0.00,2021-03-17,2021-03-19,ERP_COSTING
COST-SL-00002677,SL-00002677,T_505811,P_434331,158.76,0.00,0.00,2021-10-22,2021-10-22,ERP_COSTING
COST-SL-00002682,SL-00002682,T_763752,P_RARE_Product_Family_05,52.39,2.17,138.10,2020-08-15,2020-08-15,ERP_COSTING
COST-SL-00002688,SL-00002688,T_424442,P_RARE_Product_Family_04,47.32,0.00,0.00,2020-02-09,2020-02-11,ERP_COSTING
COST-SL-00002689,SL-00002689,T_003588,P_RARE_Product_Family_03,112.50,0.00,0.00,2020-10-16,2020-10-17,ERP_COSTING
COST-SL-00002692,SL-00002692,T_298454,P_RARE_Product_Family_03,87.25,0.00,0.00,2020-05-14,2020-05-15,ERP_COSTING
COST-SL-00002695,SL-00002695,T_282886,P_820647,176.61,0.00,0.00,2020-12-29,2020-12-29,ERP_COSTING
COST-SL-00002698,SL-00002698,T_979059,P_947367,229.60,0.00,0.00,2021-09-29,2021-10-01,ERP_COSTING
COST-SL-00002703,SL-00002703,T_129081,P_385268,176.41,0.00,0.00,2021-09-20,2021-09-20,ERP_COSTING
COST-SL-00002704,SL-00002704,T_786298,P_RARE_Product_Family_03,438.60,0.00,0.00,2021-12-08,2021-12-09,ERP_COSTING
COST-SL-00002709,SL-00002709,T_758619,P_343377,128.49,0.00,0.00,2021-02-02,2021-02-04,ERP_COSTING
COST-SL-00002712,SL-00002712,T_629008,P_688772,157.92,0.00,0.00,2021-07-17,2021-07-19,ERP_COSTING
COST-SL-00002714,SL-00002714,T_862126,P_RARE_Product_Family_03,132.96,0.00,0.00,2021-02-11,2021-02-13,ERP_COSTING
COST-SL-00002715,SL-00002715,T_559906,P_713719,509.57,0.00,0.00,2022-03-22,2022-03-23,ERP_COSTING
COST-SL-00002718,SL-00002718,T_761923,P_RARE_Product_Family_04,72.23,0.00,0.00,2020-10-19,2020-10-21,ERP_COSTING
COST-SL-00002721,SL-00002721,T_795055,P_569202,655.12,0.00,0.00,2022-04-25,2022-04-27,ERP_COSTING
COST-SL-00002726,SL-00002726,T_191751,P_047794,135.31,0.00,0.00,2020-09-16,2020-09-16,ERP_COSTING
COST-SL-00002730,SL-00002730,T_934535,P_RARE_Product_Family_03,153.92,0.00,0.00,2020-11-29,2020-12-01,ERP_COSTING
COST-SL-00002733,SL-00002733,T_172764,P_RARE_Product_Family_03,76.43,0.00,0.00,2021-06-22,2021-06-22,ERP_COSTING
COST-SL-00002734,SL-00002734,T_616125,P_128326,98.41,0.00,0.00,2020-10-03,2020-10-04,ERP_COSTING
COST-SL-00002735,SL-00002735,T_982631,P_490196,84.02,0.00,0.00,2020-04-16,2020-04-16,ERP_COSTING
COST-SL-00002740,SL-00002740,T_335050,P_856221,74.99,0.00,0.00,2021-03-09,2021-03-10,ERP_COSTING
COST-SL-00002741,SL-00002741,T_449516,P_RARE_Product_Family_02,127.87,0.00,0.00,2020-12-03,2020-12-05,ERP_COSTING
COST-SL-00002744,SL-00002744,T_325470,P_769459,109.26,0.00,0.00,2020-09-21,2020-09-21,ERP_COSTING
COST-SL-00002750,SL-00002750,T_481884,P_RARE_Product_Family_05,218.39,0.00,0.00,2020-04-15,2020-04-17,ERP_COSTING
COST-SL-00002755,SL-00002755,T_288736,P_RARE_Product_Family_05,266.10,0.50,147.91,2021-12-19,2021-12-19,ERP_COSTING
COST-SL-00002756,SL-00002756,T_288736,P_RARE_Product_Family_05,256.91,0.00,0.00,2022-01-07,2022-01-09,ERP_COSTING
COST-SL-00002762,SL-00002762,T_087671,P_RARE_Product_Family_04,141.90,0.00,0.00,2021-05-02,2021-05-02,ERP_COSTING
COST-SL-00002765,SL-00002765,T_511600,P_RARE_Product_Family_05,931.40,0.00,0.00,2022-04-22,2022-04-24,ERP_COSTING
COST-SL-00002768,SL-00002768,T_005969,P_RARE_Product_Family_03,98.50,0.00,0.00,2020-04-21,2020-04-21,ERP_COSTING
COST-SL-00002769,SL-00002769,T_550032,P_339338,73.71,0.00,0.00,2020-07-02,2020-07-03,ERP_COSTING
COST-SL-00002773,SL-00002773,T_882729,P_RARE_Product_Family_02,405.97,0.00,0.00,2022-02-02,2022-02-03,ERP_COSTING
COST-SL-00002776,SL-00002776,T_215745,P_RARE_Product_Family_04,68.32,0.00,0.00,2020-06-06,2020-06-06,ERP_COSTING
COST-SL-00002779,SL-00002779,T_659272,P_RARE_Product_Family_02,106.03,0.00,0.00,2020-07-27,2020-07-28,ERP_COSTING
COST-SL-00002782,SL-00002782,T_683726,P_821814,118.72,0.00,0.00,2021-01-27,2021-01-29,ERP_COSTING
COST-SL-00002783,SL-00002783,T_403333,P_529239,66.34,0.00,0.00,2021-03-19,2021-03-19,ERP_COSTING
COST-SL-00002787,SL-00002787,T_585570,P_RARE_Product_Family_04,108.45,0.00,0.00,2021-08-07,2021-08-08,ERP_COSTING
COST-SL-00002788,SL-00002788,T_484158,P_RARE_Product_Family_04,75.66,0.00,0.00,2021-02-08,2021-02-10,ERP_COSTING
COST-SL-00002793,SL-00002793,T_292406,P_995713,188.06,0.00,0.00,2021-03-29,2021-03-30,ERP_COSTING
COST-SL-00002796,SL-00002796,T_151983,P_RARE_Product_Family_02,80.07,0.00,0.00,2020-02-13,2020-02-13,ERP_COSTING
COST-SL-00002798,SL-00002798,T_026594,P_975626,167.18,0.00,0.00,2021-08-17,2021-08-17,ERP_COSTING
COST-SL-00002799,SL-00002799,T_369556,P_542809,121.94,0.00,0.00,2020-02-23,2020-02-25,ERP_COSTING
COST-SL-00002802,SL-00002802,T_681338,P_165831,111.29,0.00,0.00,2020-07-29,2020-07-29,ERP_COSTING
COST-SL-00002803,SL-00002803,T_262831,P_RARE_Product_Family_03,102.73,0.00,0.00,2021-08-09,2021-08-11,ERP_COSTING
COST-SL-00002807,SL-00002807,T_688061,P_889688,227.70,0.00,0.00,2021-03-07,2021-03-08,ERP_COSTING
COST-SL-00002808,SL-00002808,T_242712,P_791121,38.09,0.00,0.00,2020-07-24,2020-07-24,ERP_COSTING
COST-SL-00002810,SL-00002810,T_751541,P_RARE_Product_Family_03,224.03,0.00,0.00,2021-11-05,2021-11-06,ERP_COSTING
COST-SL-00002820,SL-00002820,T_632478,P_119677,88.32,0.00,0.00,2020-03-26,2020-03-26,ERP_COSTING
COST-SL-00002823,SL-00002823,T_870513,P_519878,143.71,0.00,0.00,2020-08-01,2020-08-02,ERP_COSTING
COST-SL-00002826,SL-00002826,T_420045,P_RARE_Product_Family_03,287.92,0.00,0.00,2021-10-26,2021-10-26,ERP_COSTING
COST-SL-00002827,SL-00002827,T_298900,P_460131,103.47,0.00,0.00,2020-07-26,2020-07-28,ERP_COSTING
COST-SL-00002830,SL-00002830,T_182471,P_RARE_Product_Family_02,932.25,0.00,0.00,2022-04-27,2022-04-29,ERP_COSTING
COST-SL-00002831,SL-00002831,T_875264,P_RARE_Product_Family_02,110.58,0.00,0.00,2020-09-04,2020-09-04,ERP_COSTING
COST-SL-00002834,SL-00002834,T_213805,P_986783,117.30,0.00,0.00,2020-07-28,2020-07-29,ERP_COSTING
COST-SL-00002837,SL-00002837,T_746344,P_873855,416.16,0.00,0.00,2021-11-07,2021-11-07,ERP_COSTING
COST-SL-00002846,SL-00002846,T_718652,P_441295,178.98,0.00,0.00,2021-01-02,2021-01-02,ERP_COSTING
COST-SL-00002847,SL-00002847,T_117707,P_RARE_Product_Family_02,130.73,0.00,0.00,2020-09-24,2020-09-26,ERP_COSTING
COST-SL-00002849,SL-00002849,T_530476,P_046254,159.21,0.00,0.00,2020-11-17,2020-11-19,ERP_COSTING
COST-SL-00002853,SL-00002853,T_340299,P_RARE_Product_Family_03,46.67,0.00,0.00,2020-04-11,2020-04-11,ERP_COSTING
COST-SL-00002854,SL-00002854,T_443840,P_623690,286.59,0.00,0.00,2021-11-22,2021-11-23,ERP_COSTING
COST-SL-00002859,SL-00002859,T_112849,P_RARE_Product_Family_05,167.15,0.00,0.00,2020-11-05,2020-11-05,ERP_COSTING
COST-SL-00002861,SL-00002861,T_609080,P_047402,119.51,0.00,0.00,2021-03-30,2021-03-31,ERP_COSTING
COST-SL-00002866,SL-00002866,T_084628,P_992126,350.74,0.00,0.00,2021-11-28,2021-11-28,ERP_COSTING
COST-SL-00002872,SL-00002872,T_266406,P_RARE_Product_Family_03,204.43,0.00,0.00,2021-08-14,2021-08-16,ERP_COSTING
COST-SL-00002873,SL-00002873,T_761550,P_218456,111.49,0.00,0.00,2020-10-26,2020-10-26,ERP_COSTING
COST-SL-00002874,SL-00002874,T_324463,P_176563,45.11,0.00,0.00,2020-01-02,2020-01-04,ERP_COSTING
COST-SL-00002879,SL-00002879,T_579250,P_RARE_Product_Family_03,246.68,0.00,0.00,2021-03-24,2021-03-24,ERP_COSTING
COST-SL-00002884,SL-00002884,T_732435,P_655926,149.57,0.00,0.00,2021-01-24,2021-01-26,ERP_COSTING
COST-SL-00002885,SL-00002885,T_306244,P_206271,52.48,0.00,0.00,2020-07-24,2020-07-25,ERP_COSTING
COST-SL-00002889,SL-00002889,T_317677,P_349471,73.94,0.00,0.00,2020-06-08,2020-06-09,ERP_COSTING
COST-SL-00002891,SL-00002891,T_443378,P_RARE_Product_Family_04,139.93,0.00,0.00,2020-12-15,2020-12-15,ERP_COSTING
COST-SL-00002892,SL-00002892,T_798454,P_484354,106.37,0.00,0.00,2020-06-04,2020-06-05,ERP_COSTING
COST-SL-00002894,SL-00002894,T_698745,P_RARE_Product_Family_02,183.93,0.00,0.00,2021-07-31,2021-08-01,ERP_COSTING
COST-SL-00002895,SL-00002895,T_541310,P_RARE_Product_Family_04,37.50,0.00,0.00,2020-07-27,2020-07-29,ERP_COSTING
COST-SL-00002902,SL-00002902,T_149793,P_468134,144.14,0.00,0.00,2021-02-03,2021-02-04,ERP_COSTING
COST-SL-00002908,SL-00002908,T_368736,P_RARE_Product_Family_01,97.46,0.00,0.00,2020-11-03,2020-11-05,ERP_COSTING
COST-SL-00002909,SL-00002909,T_628074,P_037045,138.15,0.00,0.00,2021-09-16,2021-09-16,ERP_COSTING
COST-SL-00002915,SL-00002915,T_245718,P_RARE_Product_Family_03,54.55,0.00,0.00,2020-09-27,2020-09-28,ERP_COSTING
COST-SL-00002918,SL-00002918,T_447177,P_RARE_Product_Family_03,50.30,0.00,0.00,2020-01-11,2020-01-13,ERP_COSTING
COST-SL-00002922,SL-00002922,T_854003,P_219757,174.67,0.00,0.00,2020-10-17,2020-10-18,ERP_COSTING
COST-SL-00002923,SL-00002923,T_739387,P_107385,136.09,0.00,0.00,2021-10-18,2021-10-20,ERP_COSTING
COST-SL-00002925,SL-00002925,T_597973,P_353119,166.97,0.00,0.00,2020-12-23,2020-12-25,ERP_COSTING
COST-SL-00002928,SL-00002928,T_426045,P_332034,77.89,0.00,0.00,2020-04-26,2020-04-26,ERP_COSTING
COST-SL-00002933,SL-00002933,T_106970,P_417970,71.74,0.00,0.00,2020-07-16,2020-07-16,ERP_COSTING
COST-SL-00002934,SL-00002934,T_010038,P_434331,82.11,0.00,0.00,2020-08-25,2020-08-27,ERP_COSTING
COST-SL-00002938,SL-00002938,T_939706,P_RARE_Product_Family_04,38.34,0.00,0.00,2020-08-24,2020-08-25,ERP_COSTING
COST-SL-00002939,SL-00002939,T_909159,P_366749,96.00,46.92,"4,670.89",2020-09-05,2020-09-05,ERP_COSTING
COST-SL-00002942,SL-00002942,T_024250,P_821814,111.41,0.00,0.00,2020-11-10,2020-11-10,ERP_COSTING
COST-SL-00002947,SL-00002947,T_986747,P_672380,196.33,0.00,0.00,2021-06-11,2021-06-13,ERP_COSTING
COST-SL-00002948,SL-00002948,T_448267,P_434331,137.67,"1,066.46","144,025.42",2021-07-29,2021-07-29,ERP_COSTING
COST-SL-00002949,SL-00002949,T_115786,P_577752,57.72,0.00,0.00,2021-05-15,2021-05-16,ERP_COSTING
COST-SL-00002950,SL-00002950,T_237217,P_RARE_Product_Family_04,87.15,0.00,0.00,2020-11-16,2020-11-16,ERP_COSTING
COST-SL-00002953,SL-00002953,T_757626,P_485043,122.05,0.00,0.00,2020-03-18,2020-03-19,ERP_COSTING
COST-SL-00002954,SL-00002954,T_295655,P_459910,112.16,0.00,0.00,2020-10-04,2020-10-06,ERP_COSTING
COST-SL-00002955,SL-00002955,T_095026,P_RARE_Product_Family_03,243.54,0.00,0.00,2021-12-24,2021-12-25,ERP_COSTING
COST-SL-00002959,SL-00002959,T_061147,P_RARE_Product_Family_03,101.46,0.00,0.00,2021-08-05,2021-08-05,ERP_COSTING
COST-SL-00002960,SL-00002960,T_423184,P_RARE_Product_Family_03,617.96,0.00,0.00,2022-05-23,2022-05-25,ERP_COSTING
COST-SL-00002961,SL-00002961,T_096611,P_495337,118.04,0.00,0.00,2020-12-09,2020-12-09,ERP_COSTING
COST-SL-00002966,SL-00002966,T_702463,P_383500,131.29,0.00,0.00,2020-11-21,2020-11-23,ERP_COSTING
COST-SL-00002970,SL-00002970,T_870711,P_700346,163.09,0.00,0.00,2021-08-03,2021-08-03,ERP_COSTING
COST-SL-00002977,SL-00002977,T_820696,P_011998,115.12,0.00,0.00,2021-08-12,2021-08-13,ERP_COSTING
COST-SL-00002981,SL-00002981,T_154253,P_061764,186.05,0.00,0.00,2021-05-17,2021-05-19,ERP_COSTING
COST-SL-00002984,SL-00002984,T_830109,P_495385,65.68,0.00,0.00,2020-08-21,2020-08-21,ERP_COSTING
COST-SL-00002987,SL-00002987,T_268569,P_285147,231.00,0.00,0.00,2021-02-03,2021-02-05,ERP_COSTING
COST-SL-00002990,SL-00002990,T_592301,P_253702,92.64,0.00,0.00,2020-12-02,2020-12-04,ERP_COSTING
COST-SL-00002991,SL-00002991,T_435361,P_672380,437.57,0.00,0.00,2021-11-01,2021-11-02,ERP_COSTING
COST-SL-00002994,SL-00002994,T_587898,P_RARE_Product_Family_03,105.28,0.64,78.48,2020-10-15,2020-10-15,ERP_COSTING
COST-SL-00002997,SL-00002997,T_067644,P_RARE_Product_Family_05,553.13,0.00,0.00,2021-11-20,2021-11-21,ERP_COSTING
COST-SL-00003003,SL-00003003,T_353967,P_RARE_Product_Family_05,66.45,0.00,0.00,2020-08-01,2020-08-03,ERP_COSTING
COST-SL-00003006,SL-00003006,T_469150,P_RARE_Product_Family_04,118.32,0.00,0.00,2021-04-28,2021-04-28,ERP_COSTING
COST-SL-00003007,SL-00003007,T_235622,P_RARE_Product_Family_03,203.35,0.00,0.00,2021-04-16,2021-04-17,ERP_COSTING
COST-SL-00003009,SL-00003009,T_593784,P_102912,213.64,0.00,0.00,2021-09-05,2021-09-06,ERP_COSTING
COST-SL-00003012,SL-00003012,T_637802,P_942851,265.85,0.00,0.00,2021-09-30,2021-10-01,ERP_COSTING
